Title;endereco;uf;telefone;contato;cnpj;horario_atendimento;Outros horarios;servicos_oferecidos;procedimentos;Atendimento;Avisos;gerente_unidade;gerente_clinica;Enfermeiro_a_Supervisor_a_;Demais_Gerencias;Unidade_Responsavel;Tipo de Item;Caminho
;;;;;;;;;;;;;;;;;;
CliniCASSI Rio Branco​;Rua Quintino Bocaiúva, 1790 – Bosque – Rio Branco (AC) – CEP 69.900-670;Acre;(68) 3303-8150;Fale com a CASSI  | Central 0800 729 0080;33.719.485/0044-67;de 2ª a 6ª feira, das 7h30 às 17h30;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro e equipe multiprofissional (assistente social, psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do(a) Trabalhador(a).";1. Nebulização/inalação. 2. Retirada de pontos. 3. Coleta para exame citopatológico cérvico-vaginal. 4. Controle/Aferição sinais vitais e antropometria. 5. Realização de teste de glicemia capilar. 6. Curativo em Ferida simples. 7. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.;;;Andressa Renaje de O Melo Carneiro;Barbara Denise Faustino Dantas​;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Maceió;Av. Dr. Antônio Gomes de Barros, 625 – Ed. The Square – SL 101 – Jatiuca – Maceió – AL – 57036-000;Alagoas;(82) 3202-5797;Fale com a CASSI | Central 0800 729 0080;33.719.485/0017-94;de 2ª a 6ª feira, das 8 às 18h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Pediatra, Ginecologista e Psiquiatra;
3. Saúde do Trabalhador (a);
4. Perícia Médica.
";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.
2. Administração de oxigênio por catéter nasal / Máscara de Venturi.
3. Aplicação de compressa quente.
4. Cateterismo Vesical de Alívio.
5. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley.
6. Curativo em Ferida simples.
7. Lavagem auditiva e remoção de cerume.
8. Nebulização/inalação.
9. Retirada de pontos.
10. Tamponamento de Epistaxe.
11. Tratamento/cuidado de queimaduras (exceto grandes queimados).
12. Troca de bolsa de colostomia / ileostomia.
13. Avaliação do pé diabético.
14. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical.
15. Coleta para exame citopatológico cérvico-vaginal.
16. Controle/Aferição sinais vitais e antropometria.
17. Eletrocardiografia.
18. Realização de teste de glicemia capilar.
19. Colocação de imobilização provisória (colar cervical e tipoia).
20. Remoção de molusco contagioso.
21. Retirada de Tunga Penetrans (Bicho de pé).
22. Incisão e drenagem de abcessos.
23. Remoção de molusco contagioso.
24. Retirada de Dermatobiose Penetrar (Berne ou Miiase).
25. Inserção de DIU.";;;;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Alagoas;Av. Dr. Antônio Gomes de Barros, 625 – Ed. The Square – SL 101 – Jatiuca – Maceió – AL – 57036-001;Alagoas;(82) 3202-5798;Fale com a CASSI | Central 0800 729 0080;33.719.485/0017-95;de 2ª a 6ª feira, das 8 às 18h;;;;;;;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Manaus​;Av. Senador Álvaro Maia, 1286 – Frente ao Hospital Prontoncord – Praça 14 de janeiro – Manaus – AM – 69020-210;Amazonas;(92) 3199-7120;Fale com a CASSI | Central 0800 729 0080;33.719.485/0016-03;de 2ª a 6ª feira, das 8 às 18h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, e equipe multiprofissional (assistente social,e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC ).
2. Saúde do Trabalhador.
3. Perícia Médica.";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. 2. Hidratação venosa. 3. Aplicação de Compressa quente e fria. 4. Cateterismo Vesical de Alívio. 5. Curativo em Ferida simples. 6. Lavagem auditiva e remoção de cerume. 7. Nebulização/inalação. 8. Retirada de pontos. 9. Avaliação do pé diabético. 10. Controle/Aferição sinais vitais e antropometria. 11. Realização de teste de glicemia capilar.;;;Rosimeire Neves Barbosa;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Amazonas​;Av. Senador Álvaro Maia, 1286 – Praça 14 – Manaus (AM) – CEP 69020-210;Amazonas;;Fale com a CASSI | Central 0800 729 0080;33.719.485/0016-03;de 2ª a 6ª feira, das 8 às 18h;;;;;;Rosimeire Neves Barbosa;;;;A Unidade CASSI Amazonas é responsável ainda pela CliniCASSI Boa Vista – RR​​​​;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Macapá;"Rodovia Duca Serra Km 01 , S/N – Complexo da AABB – Alvorada – Macapá – AP – 68906-698
Telefone: (96) 3213-6160";Amapá;(96) 3213-6160;Fale com a CASSI | Central 0800 729 0080;33.719.485/0042-03;de 2ª a 6ª feira, das 8 às 18h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, e equipe multiprofissional (assistente social e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).
3. Perícia Médica.";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.
2. Hidratação Venosa.
3. Curativo em Ferida simples.
4. Lavagem auditiva e remoção de cerume.
5. Nebulização/inalação.
6. Avaliação do pé diabético.
7. Coleta para exame citopatológico cérvico-vaginal.
8. Controle/Aferição sinais vitais.
9. Realização de teste de glicemia capilar.
10. Retirada de pontos. 11. Cateterismo Vesical de Alívio.
12. Cateterismo Vesical de Demora (Passagem/troca) / Troca de sonda de Folley.
13. Aplicação de Compressa quente.";;;Almira Lucia Leal de Oliveira;Isailde Brito do Rosario;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Feira de Santana;Rua Barão do Rio Branco, nº 1309, sala 901, centro, Edifício Metropolitan Center, Feira de Santana (BA) – CEP: 44001-205;Bahia;(75) 3512-0420;Fale com a CASSI | Central 0800 729 0080;33.719.485/0065-91;de 2ª a 6ª feira, das 8 às 18h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico e enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).";"1. Curativo em Ferida simples. 2. Nebulização/inalação. 3. Retirada de pontos. 4. Controle/Aferição sinais vitais e antropometria. 5. Realização de teste de glicemia capilar. 6. Avaliação do pé diabético.1. Curativo em Ferida simples.
2. Nebulização/inalação.
3. Retirada de pontos.
4. Controle/Aferição sinais vitais e antropometria.
5. Realização de teste de glicemia capilar.
6. Avaliação do pé diabético.";;;Fausto da Costa Pereira Neto;Auriceia Adorno Mo​reira Bahia;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Feira de Santana;Rua Barão do Rio Branco, nº 1309, sala 901, centro, Edifício Metropolitan Center, Feira de Santana (BA) – CEP: 44001-205;Bahia;(75) 3512-0420​;Fale com a CASSI | Central 0800 729 0080;33.719.485/0065-91;de 2ª a 6ª feira, das 8 às 18h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico e enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).";"1. Curativo em Ferida simples. 2. Nebulização/inalação. 3. Retirada de pontos. 4. Controle/Aferição sinais vitais e antropometria. 5. Realização de teste de glicemia capilar. 6. Avaliação do pé diabético.

";;;Fausto da Costa Pereira Neto;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Itabuna;Rua Pernambuco, nº 324, Jardim Vitória, Itabuna (BA) – CEP: 45605-510;Bahia;(73) 3198-9760;Fale com a CASSI | Central 0800 729 0080;33.719.485/0036-57;de 2ª a 6ª feira, das 8 às 18h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico e enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).";"1. Curativo em Ferida simples.
2. Nebulização/inalação.
3. Retirada de pontos.
4. Controle/Aferição sinais vitais e antropometria.
5. Realização de teste de glicemia capilar.
6. Avaliação do pé diabético.";;;Fausto da Costa Pereira Neto;Leolidia Azevedo da Silva Monteiro de Almeida;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
